% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.037	1	2	4	8	1	0	26	2
0.037	1	3	4	8	2	0	26	2
0.037	1	1	4	8	3	0	26	2
0.038	1	2	4	9	1	28	749	0
0.038	1	3	4	9	2	28	749	0
0.038	1	1	4	9	3	28	749	0
0.038	1	2	4	9	1	0	26	1
0.038	1	3	4	9	2	0	26	1
0.038	1	1	4	9	3	0	26	1
0.038	1	2	4	9	1	0	26	2
0.038	1	3	4	9	2	0	26	2
0.038	1	1	4	9	3	0	26	2
0.039	1	2	4	10	1	28	749	0
0.039	1	3	4	10	2	28	749	0
0.039	1	1	4	10	3	28	749	0
0.039	1	2	4	10	1	0	26	1
0.039	1	3	4	10	2	0	26	1
0.039	1	1	4	10	3	0	26	1
0.039	1	2	4	10	1	0	26	2
0.039	1	3	4	10	2	0	26	2
0.039	1	1	4	10	3	0	26	2
0.04	1	2	5	1	1	28	749	0
0.04	1	3	5	1	2	28	749	0
0.04	1	1	5	1	3	28	749	0
0.04	1	2	5	1	1	0	26	1
0.04	1	3	5	1	2	0	26	1
0.04	1	1	5	1	3	0	26	1
0.04	1	2	5	1	1	0	26	2
0.04	1	3	5	1	2	0	26	2
0.04	1	1	5	1	3	0	26	2
0.041	1	2	5	2	1	28	749	0
0.041	1	3	5	2	2	28	749	0
0.041	1	1	5	2	3	28	749	0
0.041	1	2	5	2	1	28	749	1
0.041	1	3	5	2	2	0	26	1
0.041	1	1	5	2	3	0	26	1
0.041	1	2	5	2	1	28	749	2
0.041	1	3	5	2	2	0	26	2
0.041	1	1	5	2	3	0	26	2
0.042	1	2	5	3	1	28	749	0
0.042	1	3	5	3	2	28	749	0
0.042	1	1	5	3	3	28	749	0
0.042	1	2	5	3	1	28	749	1
0.042	1	3	5	3	2	28	749	1
0.042	1	1	5	3	3	0	26	1
0.042	1	2	5	3	1	28	749	2
0.042	1	3	5	3	2	28	749	2
0.042	1	1	5	3	3	0	26	2
0.043	1	2	5	4	1	28	749	0
0.043	1	3	5	4	2	28	749	0
0.043	1	1	5	4	3	28	749	0
0.043	1	2	5	4	1	28	749	1
0.043	1	3	5	4	2	28	749	1
0.043	1	1	5	4	3	28	749	1
0.043	1	2	5	4	1	28	749	2
0.043	1	3	5	4	2	28	749	2
0.043	1	1	5	4	3	28	749	2
0.044	1	2	5	5	1	28	749	0
0.044	1	3	5	5	2	28	749	0
0.044	1	1	5	5	3	28	749	0
0.044	1	2	5	5	1	28	749	1
0.044	1	3	5	5	2	28	749	1
0.044	1	1	5	5	3	28	749	1
0.044	1	2	5	5	1	28	749	2
0.044	1	3	5	5	2	28	749	2
0.044	1	1	5	5	3	28	749	2
0.045	1	2	5	6	1	28	749	0
0.045	1	3	5	6	2	28	749	0
0.045	1	1	5	6	3	28	749	0
0.045	1	2	5	6	1	28	749	1
0.045	1	3	5	6	2	28	749	1
0.045	1	1	5	6	3	28	749	1
0.045	1	2	5	6	1	28	749	2
0.045	1	3	5	6	2	28	749	2
0.045	1	1	5	6	3	28	749	2
0.046	1	2	5	7	1	28	749	0
0.046	1	3	5	7	2	28	749	0
0.046	1	1	5	7	3	28	749	0
0.046	1	2	5	7	1	28	749	1
0.046	1	3	5	7	2	28	749	1
0.046	1	1	5	7	3	28	749	1
0.046	1	2	5	7	1	28	749	2
0.046	1	3	5	7	2	28	749	2
0.046	1	1	5	7	3	28	749	2
0.047	1	2	5	8	1	28	749	0
0.047	1	3	5	8	2	28	749	0
0.047	1	1	5	8	3	28	749	0
0.047	1	2	5	8	1	28	749	1
0.047	1	3	5	8	2	28	749	1
0.047	1	1	5	8	3	28	749	1
0.047	1	2	5	8	1	28	749	2
0.047	1	3	5	8	2	28	749	2
0.047	1	1	5	8	3	28	749	2
0.048	1	2	5	9	1	28	749	0
0.048	1	3	5	9	2	28	749	0
0.048	1	1	5	9	3	28	749	0
0.048	1	2	5	9	1	28	749	1
0.048	1	3	5	9	2	28	749	1
0.048	1	1	5	9	3	28	749	1
0.048	1	2	5	9	1	28	749	2
0.048	1	3	5	9	2	28	749	2
0.048	1	1	5	9	3	28	749	2
0.049	1	2	5	10	1	28	749	0
0.049	1	3	5	10	2	28	749	0
0.049	1	1	5	10	3	28	749	0
0.049	1	2	5	10	1	28	749	1
0.049	1	3	5	10	2	28	749	1
0.049	1	1	5	10	3	28	749	1
0.049	1	2	5	10	1	28	749	2
0.049	1	3	5	10	2	28	749	2
0.049	1	1	5	10	3	28	749	2
0.05	1	2	6	1	1	28	749	0
0.05	1	3	6	1	2	28	749	0
0.05	1	1	6	1	3	28	749	0
0.05	1	2	6	1	1	28	749	1
0.05	1	3	6	1	2	28	749	1
0.05	1	1	6	1	3	28	749	1
0.05	1	2	6	1	1	28	749	2
0.05	1	3	6	1	2	28	749	2
0.05	1	1	6	1	3	28	749	2
0.051	1	2	6	2	1	28	749	0
0.051	1	3	6	2	2	28	749	0
0.051	1	1	6	2	3	28	749	0
0.051	1	2	6	2	1	28	749	1
0.051	1	3	6	2	2	28	749	1
0.051	1	1	6	2	3	28	749	1
0.051	1	2	6	2	1	28	749	2
0.051	1	3	6	2	2	28	749	2
0.051	1	1	6	2	3	28	749	2
0.052	1	2	6	3	1	28	749	0
0.052	1	3	6	3	2	28	749	0
0.052	1	1	6	3	3	28	749	0
0.052	1	2	6	3	1	28	749	1
0.052	1	3	6	3	2	28	749	1
0.052	1	1	6	3	3	28	749	1
0.052	1	2	6	3	1	28	749	2
0.052	1	3	6	3	2	28	749	2
0.052	1	1	6	3	3	28	749	2
0.053	1	2	6	4	1	28	749	0
0.053	1	3	6	4	2	28	749	0
0.053	1	1	6	4	3	28	749	0
0.053	1	2	6	4	1	28	749	1
0.053	1	3	6	4	2	28	749	1
0.053	1	1	6	4	3	28	749	1
0.053	1	2	6	4	1	28	749	2
0.053	1	3	6	4	2	28	749	2
0.053	1	1	6	4	3	28	749	2
0.054	1	2	6	5	1	28	749	0
0.054	1	3	6	5	2	28	749	0
0.054	1	1	6	5	3	28	749	0
0.054	1	2	6	5	1	28	749	1
0.054	1	3	6	5	2	28	749	1
0.054	1	1	6	5	3	28	749	1
0.054	1	2	6	5	1	28	749	2
0.054	1	3	6	5	2	28	749	2
0.054	1	1	6	5	3	28	749	2
0.055	1	2	6	6	1	28	749	0
0.055	1	3	6	6	2	28	749	0
0.055	1	1	6	6	3	28	749	0
0.055	1	2	6	6	1	28	749	1
0.055	1	3	6	6	2	28	749	1
0.055	1	1	6	6	3	28	749	1
0.055	1	2	6	6	1	28	749	2
0.055	1	3	6	6	2	28	749	2
0.055	1	1	6	6	3	28	749	2
0.056	1	2	6	7	1	28	749	0
0.056	1	3	6	7	2	28	749	0
0.056	1	1	6	7	3	28	749	0
0.056	1	2	6	7	1	28	749	1
0.056	1	3	6	7	2	28	749	1
0.056	1	1	6	7	3	28	749	1
0.056	1	2	6	7	1	28	749	2
0.056	1	3	6	7	2	28	749	2
0.056	1	1	6	7	3	28	749	2
0.057	1	2	6	8	1	28	749	0
0.057	1	3	6	8	2	28	749	0
0.057	1	1	6	8	3	28	749	0
0.057	1	2	6	8	1	28	749	1
0.057	1	3	6	8	2	28	749	1
0.057	1	1	6	8	3	28	749	1
0.057	1	2	6	8	1	28	749	2
0.057	1	3	6	8	2	28	749	2
0.057	1	1	6	8	3	28	749	2
0.058	1	2	6	9	1	28	749	0
0.058	1	3	6	9	2	28	749	0
0.058	1	1	6	9	3	28	749	0
0.058	1	2	6	9	1	28	749	1
0.058	1	3	6	9	2	28	749	1
0.058	1	1	6	9	3	28	749	1
0.058	1	2	6	9	1	28	749	2
0.058	1	3	6	9	2	28	749	2
0.058	1	1	6	9	3	28	749	2
0.059	1	2	6	10	1	28	749	0
0.059	1	3	6	10	2	28	749	0
0.059	1	1	6	10	3	28	749	0
0.059	1	2	6	10	1	28	749	1
0.059	1	3	6	10	2	28	749	1
0.059	1	1	6	10	3	28	749	1
0.059	1	2	6	10	1	28	749	2
0.059	1	3	6	10	2	28	749	2
0.059	1	1	6	10	3	28	749	2
0.06	1	2	7	1	1	28	749	0
0.06	1	3	7	1	2	28	749	0
0.06	1	1	7	1	3	28	749	0
0.06	1	2	7	1	1	28	749	1
0.06	1	3	7	1	2	28	749	1
0.06	1	1	7	1	3	28	749	1
0.06	1	2	7	1	1	28	749	2
0.06	1	3	7	1	2	28	749	2
0.06	1	1	7	1	3	28	749	2
0.061	1	2	7	2	1	28	749	0
0.061	1	3	7	2	2	28	749	0
0.061	1	1	7	2	3	28	749	0
0.061	1	2	7	2	1	28	749	1
0.061	1	3	7	2	2	28	749	1
0.061	1	1	7	2	3	28	749	1
0.061	1	2	7	2	1	28	749	2
0.061	1	3	7	2	2	28	749	2
0.061	1	1	7	2	3	28	749	2
0.062	1	2	7	3	1	28	749	0
0.062	1	3	7	3	2	28	749	0
0.062	1	1	7	3	3	28	749	0
0.062	1	2	7	3	1	28	749	1
0.062	1	3	7	3	2	28	749	1
0.062	1	1	7	3	3	28	749	1
0.062	1	2	7	3	1	28	749	2
0.062	1	3	7	3	2	28	749	2
0.062	1	1	7	3	3	28	749	2
0.063	1	2	7	4	1	28	749	0
0.063	1	3	7	4	2	28	749	0
0.063	1	1	7	4	3	28	749	0
0.063	1	2	7	4	1	28	749	1
0.063	1	3	7	4	2	28	749	1
0.063	1	1	7	4	3	28	749	1
0.063	1	2	7	4	1	28	749	2
0.063	1	3	7	4	2	28	749	2
0.063	1	1	7	4	3	28	749	2
0.064	1	2	7	5	1	28	749	0
0.064	1	3	7	5	2	28	749	0
0.064	1	1	7	5	3	28	749	0
0.064	1	2	7	5	1	28	749	1
0.064	1	3	7	5	2	28	749	1
0.064	1	1	7	5	3	28	749	1
0.064	1	2	7	5	1	28	749	2
0.064	1	3	7	5	2	28	749	2
0.064	1	1	7	5	3	28	749	2
0.065	1	2	7	6	1	28	749	0
0.065	1	3	7	6	2	28	749	0
0.065	1	1	7	6	3	28	749	0
0.065	1	2	7	6	1	28	749	1
0.065	1	3	7	6	2	28	749	1
0.065	1	1	7	6	3	28	749	1
0.065	1	2	7	6	1	28	749	2
0.065	1	3	7	6	2	28	749	2
0.065	1	1	7	6	3	28	749	2
0.066	1	2	7	7	1	28	749	0
0.066	1	3	7	7	2	28	749	0
0.066	1	1	7	7	3	28	749	0
0.066	1	2	7	7	1	28	749	1
0.066	1	3	7	7	2	28	749	1
0.066	1	1	7	7	3	28	749	1
0.066	1	2	7	7	1	28	749	2
0.066	1	3	7	7	2	28	749	2
0.066	1	1	7	7	3	28	749	2
0.067	1	2	7	8	1	28	749	0
0.067	1	3	7	8	2	28	749	0
0.067	1	1	7	8	3	28	749	0
0.067	1	2	7	8	1	28	749	1
0.067	1	3	7	8	2	28	749	1
0.067	1	1	7	8	3	28	749	1
0.067	1	2	7	8	1	28	749	2
0.067	1	3	7	8	2	28	749	2
0.067	1	1	7	8	3	28	749	2
0.068	1	2	7	9	1	28	749	0
0.068	1	3	7	9	2	28	749	0
0.068	1	1	7	9	3	28	749	0
0.068	1	2	7	9	1	28	749	1
0.068	1	3	7	9	2	28	749	1
0.068	1	1	7	9	3	28	749	1
0.068	1	2	7	9	1	28	749	2
0.068	1	3	7	9	2	28	749	2
0.068	1	1	7	9	3	28	749	2
0.069	1	2	7	10	1	28	749	0
0.069	1	3	7	10	2	28	749	0
0.069	1	1	7	10	3	28	749	0
0.069	1	2	7	10	1	28	749	1
0.069	1	3	7	10	2	28	749	1
0.069	1	1	7	10	3	28	749	1
0.069	1	2	7	10	1	28	749	2
0.069	1	3	7	10	2	28	749	2
0.069	1	1	7	10	3	28	749	2
0.07	1	2	8	1	1	28	749	0
0.07	1	3	8	1	2	28	749	0
0.07	1	1	8	1	3	28	749	0
0.07	1	2	8	1	1	28	749	1
0.07	1	3	8	1	2	28	749	1
0.07	1	1	8	1	3	28	749	1
0.07	1	2	8	1	1	28	749	2
0.07	1	3	8	1	2	28	749	2
0.07	1	1	8	1	3	28	749	2
0.071	1	2	8	2	1	28	749	0
0.071	1	3	8	2	2	28	749	0
0.071	1	1	8	2	3	28	749	0
0.071	1	2	8	2	1	28	749	1
0.071	1	3	8	2	2	28	749	1
0.071	1	1	8	2	3	28	749	1
0.071	1	2	8	2	1	28	749	2
0.071	1	3	8	2	2	28	749	2
0.071	1	1	8	2	3	28	749	2
0.072	1	2	8	3	1	28	749	0
0.072	1	3	8	3	2	28	749	0
0.072	1	1	8	3	3	28	749	0
0.072	1	2	8	3	1	28	749	1
0.072	1	3	8	3	2	28	749	1
0.072	1	1	8	3	3	28	749	1
0.072	1	2	8	3	1	28	749	2
0.072	1	3	8	3	2	28	749	2
0.072	1	1	8	3	3	28	749	2
0.073	1	2	8	4	1	28	749	0
0.073	1	3	8	4	2	28	749	0
0.073	1	1	8	4	3	28	749	0
0.073	1	2	8	4	1	28	749	1
0.073	1	3	8	4	2	28	749	1
0.073	1	1	8	4	3	28	749	1
0.073	1	2	8	4	1	28	749	2
0.073	1	3	8	4	2	28	749	2
0.073	1	1	8	4	3	28	749	2
0.074	1	2	8	5	1	28	749	0
0.074	1	3	8	5	2	28	749	0
0.074	1	1	8	5	3	28	749	0
0.074	1	2	8	5	1	28	749	1
0.074	1	3	8	5	2	28	749	1
0.074	1	1	8	5	3	28	749	1
0.074	1	2	8	5	1	28	749	2
0.074	1	3	8	5	2	28	749	2
0.074	1	1	8	5	3	28	749	2
0.075	1	2	8	6	1	28	749	0
0.075	1	3	8	6	2	28	749	0
0.075	1	1	8	6	3	28	749	0
0.075	1	2	8	6	1	28	749	1
0.075	1	3	8	6	2	28	749	1
0.075	1	1	8	6	3	28	749	1
0.075	1	2	8	6	1	28	749	2
0.075	1	3	8	6	2	28	749	2
0.075	1	1	8	6	3	28	749	2
0.076	1	2	8	7	1	28	749	0
0.076	1	3	8	7	2	28	749	0
0.076	1	1	8	7	3	28	749	0
0.076	1	2	8	7	1	28	749	1
0.076	1	3	8	7	2	28	749	1
0.076	1	1	8	7	3	28	749	1
0.076	1	2	8	7	1	28	749	2
0.076	1	3	8	7	2	28	749	2
0.076	1	1	8	7	3	28	749	2
0.077	1	2	8	8	1	28	749	0
0.077	1	3	8	8	2	28	749	0
0.077	1	1	8	8	3	28	749	0
0.077	1	2	8	8	1	28	749	1
0.077	1	3	8	8	2	28	749	1
0.077	1	1	8	8	3	28	749	1
0.077	1	2	8	8	1	28	749	2
0.077	1	3	8	8	2	28	749	2
0.077	1	1	8	8	3	28	749	2
0.078	1	2	8	9	1	28	749	0
0.078	1	3	8	9	2	28	749	0
0.078	1	1	8	9	3	28	749	0
0.078	1	2	8	9	1	28	749	1
0.078	1	3	8	9	2	28	749	1
0.078	1	1	8	9	3	28	749	1
0.078	1	2	8	9	1	28	749	2
0.078	1	3	8	9	2	28	749	2
0.078	1	1	8	9	3	28	749	2
0.079	1	2	8	10	1	28	749	0
0.079	1	3	8	10	2	28	749	0
0.079	1	1	8	10	3	28	749	0
0.079	1	2	8	10	1	28	749	1
0.079	1	3	8	10	2	28	749	1
0.079	1	1	8	10	3	28	749	1
0.079	1	2	8	10	1	28	749	2
0.079	1	3	8	10	2	28	749	2
0.079	1	1	8	10	3	28	749	2
0.08	1	2	9	1	1	28	749	0
0.08	1	3	9	1	2	28	749	0
0.08	1	1	9	1	3	28	749	0
0.08	1	2	9	1	1	28	749	1
0.08	1	3	9	1	2	28	749	1
0.08	1	1	9	1	3	28	749	1
0.08	1	2	9	1	1	28	749	2
0.08	1	3	9	1	2	28	749	2
0.08	1	1	9	1	3	28	749	2
0.081	1	2	9	2	1	28	749	0
0.081	1	3	9	2	2	28	749	0
0.081	1	1	9	2	3	28	749	0
0.081	1	2	9	2	1	28	749	1
0.081	1	3	9	2	2	28	749	1
0.081	1	1	9	2	3	28	749	1
0.081	1	2	9	2	1	28	749	2
0.081	1	3	9	2	2	28	749	2
0.081	1	1	9	2	3	28	749	2
0.082	1	2	9	3	1	28	749	0
0.082	1	3	9	3	2	28	749	0
0.082	1	1	9	3	3	28	749	0
0.082	1	2	9	3	1	28	749	1
0.082	1	3	9	3	2	28	749	1
0.082	1	1	9	3	3	28	749	1
0.082	1	2	9	3	1	28	749	2
0.082	1	3	9	3	2	28	749	2
0.082	1	1	9	3	3	28	749	2
0.083	1	2	9	4	1	28	749	0
0.083	1	3	9	4	2	28	749	0
0.083	1	1	9	4	3	28	749	0
0.083	1	2	9	4	1	28	749	1
0.083	1	3	9	4	2	28	749	1
0.083	1	1	9	4	3	28	749	1
0.083	1	2	9	4	1	28	749	2
0.083	1	3	9	4	2	28	749	2
0.083	1	1	9	4	3	28	749	2
0.084	1	2	9	5	1	28	749	0
0.084	1	3	9	5	2	28	749	0
0.084	1	1	9	5	3	28	749	0
0.084	1	2	9	5	1	28	749	1
0.084	1	3	9	5	2	28	749	1
0.084	1	1	9	5	3	28	749	1
0.084	1	2	9	5	1	28	749	2
0.084	1	3	9	5	2	28	749	2
0.084	1	1	9	5	3	28	749	2
0.085	1	2	9	6	1	28	749	0
0.085	1	3	9	6	2	28	749	0
0.085	1	1	9	6	3	28	749	0
0.085	1	2	9	6	1	28	749	1
0.085	1	3	9	6	2	28	749	1
0.085	1	1	9	6	3	28	749	1
0.085	1	2	9	6	1	28	749	2
0.085	1	3	9	6	2	28	749	2
0.085	1	1	9	6	3	28	749	2
0.086	1	2	9	7	1	28	749	0
0.086	1	3	9	7	2	28	749	0
0.086	1	1	9	7	3	28	749	0
0.086	1	2	9	7	1	28	749	1
0.086	1	3	9	7	2	28	749	1
0.086	1	1	9	7	3	28	749	1
0.086	1	2	9	7	1	28	749	2
0.086	1	3	9	7	2	28	749	2
0.086	1	1	9	7	3	28	749	2
0.087	1	2	9	8	1	28	749	0
0.087	1	3	9	8	2	28	749	0
0.087	1	1	9	8	3	28	749	0
0.087	1	2	9	8	1	28	749	1
0.087	1	3	9	8	2	28	749	1
0.087	1	1	9	8	3	28	749	1
0.087	1	2	9	8	1	28	749	2
0.087	1	3	9	8	2	28	749	2
0.087	1	1	9	8	3	28	749	2
0.088	1	2	9	9	1	28	749	0
0.088	1	3	9	9	2	28	749	0
0.088	1	1	9	9	3	28	749	0
0.088	1	2	9	9	1	28	749	1
0.088	1	3	9	9	2	28	749	1
0.088	1	1	9	9	3	28	749	1
0.088	1	2	9	9	1	28	749	2
0.088	1	3	9	9	2	28	749	2
0.088	1	1	9	9	3	28	749	2
0.089	1	2	9	10	1	28	749	0
0.089	1	3	9	10	2	28	749	0
0.089	1	1	9	10	3	28	749	0
0.089	1	2	9	10	1	28	749	1
0.089	1	3	9	10	2	28	749	1
0.089	1	1	9	10	3	28	749	1
0.089	1	2	9	10	1	28	749	2
0.089	1	3	9	10	2	28	749	2
0.089	1	1	9	10	3	28	749	2
0.09	1	2	10	1	1	28	749	0
0.09	1	3	10	1	2	28	749	0
0.09	1	1	10	1	3	28	749	0
0.09	1	2	10	1	1	28	749	1
0.09	1	3	10	1	2	28	749	1
0.09	1	1	10	1	3	28	749	1
0.09	1	2	10	1	1	28	749	2
0.09	1	3	10	1	2	28	749	2
0.09	1	1	10	1	3	28	749	2
0.091	1	2	10	2	1	28	749	0
0.091	1	3	10	2	2	28	749	0
0.091	1	1	10	2	3	28	749	0
0.091	1	2	10	2	1	28	749	1
0.091	1	3	10	2	2	28	749	1
0.091	1	1	10	2	3	28	749	1
0.091	1	2	10	2	1	28	749	2
0.091	1	3	10	2	2	28	749	2
0.091	1	1	10	2	3	28	749	2
0.092	1	2	10	3	1	28	749	0
0.092	1	3	10	3	2	28	749	0
0.092	1	1	10	3	3	28	749	0
0.092	1	2	10	3	1	28	749	1
0.092	1	3	10	3	2	28	749	1
0.092	1	1	10	3	3	28	749	1
0.092	1	2	10	3	1	28	749	2
0.092	1	3	10	3	2	28	749	2
0.092	1	1	10	3	3	28	749	2
0.093	1	2	10	4	1	28	749	0
0.093	1	3	10	4	2	28	749	0
0.093	1	1	10	4	3	28	749	0
0.093	1	2	10	4	1	28	749	1
0.093	1	3	10	4	2	28	749	1
0.093	1	1	10	4	3	28	749	1
0.093	1	2	10	4	1	28	749	2
0.093	1	3	10	4	2	28	749	2
0.093	1	1	10	4	3	28	749	2
0.094	1	2	10	5	1	28	749	0
0.094	1	3	10	5	2	28	749	0
0.094	1	1	10	5	3	28	749	0
0.094	1	2	10	5	1	28	749	1
0.094	1	3	10	5	2	28	749	1
0.094	1	1	10	5	3	28	749	1
0.094	1	2	10	5	1	28	749	2
0.094	1	3	10	5	2	28	749	2
0.094	1	1	10	5	3	28	749	2
0.095	1	2	10	6	1	28	749	0
0.095	1	3	10	6	2	28	749	0
0.095	1	1	10	6	3	28	749	0
0.095	1	2	10	6	1	28	749	1
0.095	1	3	10	6	2	28	749	1
0.095	1	1	10	6	3	28	749	1
0.095	1	2	10	6	1	28	749	2
0.095	1	3	10	6	2	28	749	2
0.095	1	1	10	6	3	28	749	2
0.096	1	2	10	7	1	28	749	0
0.096	1	3	10	7	2	28	749	0
0.096	1	1	10	7	3	28	749	0
0.096	1	2	10	7	1	28	749	1
0.096	1	3	10	7	2	28	749	1
0.096	1	1	10	7	3	28	749	1
0.096	1	2	10	7	1	28	749	2
0.096	1	3	10	7	2	28	749	2
0.096	1	1	10	7	3	28	749	2
0.097	1	2	10	8	1	28	749	0
0.097	1	3	10	8	2	28	749	0
0.097	1	1	10	8	3	28	749	0
0.097	1	2	10	8	1	28	749	1
0.097	1	3	10	8	2	28	749	1
0.097	1	1	10	8	3	28	749	1
0.097	1	2	10	8	1	28	749	2
0.097	1	3	10	8	2	28	749	2
0.097	1	1	10	8	3	28	749	2
0.098	1	2	10	9	1	28	749	0
0.098	1	3	10	9	2	28	749	0
0.098	1	1	10	9	3	28	749	0
0.098	1	2	10	9	1	28	749	1
0.098	1	3	10	9	2	28	749	1
0.098	1	1	10	9	3	28	749	1
0.098	1	2	10	9	1	28	749	2
0.098	1	3	10	9	2	28	749	2
0.098	1	1	10	9	3	28	749	2
0.099	1	2	10	10	1	28	749	0
0.099	1	3	10	10	2	28	749	0
0.099	1	1	10	10	3	28	749	0
0.099	1	2	10	10	1	28	749	1
0.099	1	3	10	10	2	28	749	1
0.099	1	1	10	10	3	28	749	1
0.099	1	2	10	10	1	28	749	2
0.099	1	3	10	10	2	28	749	2
0.099	1	1	10	10	3	28	749	2
0.1	1	2	11	1	1	28	749	0
0.1	1	3	11	1	2	28	749	0
0.1	1	1	11	1	3	28	749	0
0.1	1	2	11	1	1	28	749	1
0.1	1	3	11	1	2	28	749	1
0.1	1	1	11	1	3	28	749	1
0.1	1	2	11	1	1	28	749	2
0.1	1	3	11	1	2	28	749	2
0.1	1	1	11	1	3	28	749	2
0.101	1	2	11	2	1	28	749	0
0.101	1	3	11	2	2	28	749	0
0.101	1	1	11	2	3	28	749	0
0.101	1	2	11	2	1	28	749	1
0.101	1	3	11	2	2	28	749	1
0.101	1	1	11	2	3	28	749	1
0.101	1	2	11	2	1	28	749	2
0.101	1	3	11	2	2	28	749	2
0.101	1	1	11	2	3	28	749	2
0.102	1	2	11	3	1	28	749	0
0.102	1	3	11	3	2	28	749	0
0.102	1	1	11	3	3	28	749	0
0.102	1	2	11	3	1	28	749	1
0.102	1	3	11	3	2	28	749	1
0.102	1	1	11	3	3	28	749	1
0.102	1	2	11	3	1	28	749	2
0.102	1	3	11	3	2	28	749	2
0.102	1	1	11	3	3	28	749	2
0.103	1	2	11	4	1	28	749	0
0.103	1	3	11	4	2	28	749	0
0.103	1	1	11	4	3	28	749	0
