% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.066	1	2	7	7	1	28	2196	0	0	2
0.067	1	3	7	8	2	28	2196	0	0	0
0.067	1	3	7	8	2	28	2196	0	0	1
0.067	1	3	7	8	2	28	2196	0	0	2
0.068	1	1	7	9	3	28	2196	0	0	0
0.068	1	1	7	9	3	28	2196	0	0	1
0.068	1	1	7	9	3	28	2196	0	0	2
0.069	1	2	7	10	1	28	2196	0	0	0
0.069	1	2	7	10	1	28	2196	0	0	1
0.069	1	2	7	10	1	28	2196	0	0	2
0.07	1	3	8	1	2	28	2196	0	0	0
0.07	1	3	8	1	2	28	2196	0	0	1
0.07	1	3	8	1	2	28	2196	0	0	2
0.071	1	1	8	2	3	28	2196	0	0	0
0.071	1	1	8	2	3	28	2196	0	0	1
0.071	1	1	8	2	3	28	2196	0	0	2
0.072	1	2	8	3	1	28	2196	0	0	0
0.072	1	2	8	3	1	28	2196	0	0	1
0.072	1	2	8	3	1	28	2196	0	0	2
0.073	1	3	8	4	2	28	2196	0	0	0
0.073	1	3	8	4	2	28	2196	0	0	1
0.073	1	3	8	4	2	28	2196	0	0	2
0.074	1	1	8	5	3	28	2196	0	0	0
0.074	1	1	8	5	3	28	2196	0	0	1
0.074	1	1	8	5	3	28	2196	0	0	2
0.075	1	2	8	6	1	28	2196	0	0	0
0.075	1	2	8	6	1	28	2196	0	0	1
0.075	1	2	8	6	1	28	2196	0	0	2
0.076	1	3	8	7	2	28	2196	0	0	0
0.076	1	3	8	7	2	28	2196	0	0	1
0.076	1	3	8	7	2	28	2196	0	0	2
0.077	1	1	8	8	3	28	2196	0	0	0
0.077	1	1	8	8	3	28	2196	0	0	1
0.077	1	1	8	8	3	28	2196	0	0	2
0.078	1	2	8	9	1	28	2196	0	0	0
0.078	1	2	8	9	1	28	2196	0	0	1
0.078	1	2	8	9	1	28	2196	0	0	2
0.079	1	3	8	10	2	28	2196	0	0	0
0.079	1	3	8	10	2	28	2196	0	0	1
0.079	1	3	8	10	2	28	2196	0	0	2
0.08	1	1	9	1	3	28	2196	0	0	0
0.08	1	1	9	1	3	28	2196	0	0	1
0.08	1	1	9	1	3	28	2196	0	0	2
0.081	1	2	9	2	1	28	2196	0	0	0
0.081	1	2	9	2	1	28	2196	0	0	1
0.081	1	2	9	2	1	28	2196	0	0	2
0.082	1	3	9	3	2	28	2196	0	0	0
0.082	1	3	9	3	2	28	2196	0	0	1
0.082	1	3	9	3	2	28	2196	0	0	2
0.083	1	1	9	4	3	28	2196	0	0	0
0.083	1	1	9	4	3	28	2196	0	0	1
0.083	1	1	9	4	3	28	2196	0	0	2
0.084	1	2	9	5	1	28	2196	0	0	0
0.084	1	2	9	5	1	28	2196	0	0	1
0.084	1	2	9	5	1	28	2196	0	0	2
0.085	1	3	9	6	2	28	2196	0	0	0
0.085	1	3	9	6	2	28	2196	0	0	1
0.085	1	3	9	6	2	28	2196	0	0	2
0.086	1	1	9	7	3	28	2196	0	0	0
0.086	1	1	9	7	3	28	2196	0	0	1
0.086	1	1	9	7	3	28	2196	0	0	2
0.087	1	2	9	8	1	28	2196	0	0	0
0.087	1	2	9	8	1	28	2196	0	0	1
0.087	1	2	9	8	1	28	2196	0	0	2
0.088	1	3	9	9	2	28	2196	0	0	0
0.088	1	3	9	9	2	28	2196	0	0	1
0.088	1	3	9	9	2	28	2196	0	0	2
0.089	1	1	9	10	3	28	2196	0	0	0
0.089	1	1	9	10	3	28	2196	0	0	1
0.089	1	1	9	10	3	28	2196	0	0	2
0.09	1	2	10	1	1	28	2196	0	0	0
0.09	1	2	10	1	1	28	2196	0	0	1
0.09	1	2	10	1	1	28	2196	0	0	2
0.091	1	3	10	2	2	28	2196	0	0	0
0.091	1	3	10	2	2	28	2196	0	0	1
0.091	1	3	10	2	2	28	2196	0	0	2
0.092	1	1	10	3	3	28	2196	0	0	0
0.092	1	1	10	3	3	28	2196	0	0	1
0.092	1	1	10	3	3	28	2196	0	0	2
0.093	1	2	10	4	1	28	2196	0	0	0
0.093	1	2	10	4	1	28	2196	0	0	1
0.093	1	2	10	4	1	28	2196	0	0	2
0.094	1	3	10	5	2	28	2196	0	0	0
0.094	1	3	10	5	2	28	2196	0	0	1
0.094	1	3	10	5	2	28	2196	0	0	2
0.095	1	1	10	6	3	28	2196	0	0	0
0.095	1	1	10	6	3	28	2196	0	0	1
0.095	1	1	10	6	3	28	2196	0	0	2
0.096	1	2	10	7	1	28	2196	0	0	0
0.096	1	2	10	7	1	28	2196	0	0	1
0.096	1	2	10	7	1	28	2196	0	0	2
0.097	1	3	10	8	2	28	2196	0	0	0
0.097	1	3	10	8	2	28	2196	0	0	1
0.097	1	3	10	8	2	28	2196	0	0	2
0.098	1	1	10	9	3	28	2196	0	0	0
0.098	1	1	10	9	3	28	2196	0	0	1
0.098	1	1	10	9	3	28	2196	0	0	2
0.099	1	2	10	10	1	28	2196	0	0	0
0.099	1	2	10	10	1	28	2196	0	0	1
0.099	1	2	10	10	1	28	2196	0	0	2
0.1	1	3	11	1	2	28	2196	0	0	0
0.1	1	3	11	1	2	28	2196	0	0	1
0.1	1	3	11	1	2	28	2196	0	0	2
0.101	1	1	11	2	3	28	2196	0	0	0
0.101	1	1	11	2	3	28	2196	0	0	1
0.101	1	1	11	2	3	28	2196	0	0	2
0.102	1	2	11	3	1	28	2196	0	0	0
0.102	1	2	11	3	1	28	2196	0	0	1
0.102	1	2	11	3	1	28	2196	0	0	2
0.103	1	3	11	4	2	28	2196	0	0	0
0.103	1	3	11	4	2	28	2196	0	0	1
0.103	1	3	11	4	2	28	2196	0	0	2
0.104	1	1	11	5	3	28	2196	0	0	0
0.104	1	1	11	5	3	28	2196	0	0	1
0.104	1	1	11	5	3	28	2196	0	0	2
0.105	1	2	11	6	1	28	2196	0	0	0
0.105	1	2	11	6	1	28	2196	0	0	1
0.105	1	2	11	6	1	28	2196	0	0	2
0.106	1	3	11	7	2	28	2196	0	0	0
0.106	1	3	11	7	2	28	2196	0	0	1
0.106	1	3	11	7	2	28	2196	0	0	2
0.107	1	1	11	8	3	28	2196	0	0	0
0.107	1	1	11	8	3	28	2196	0	0	1
0.107	1	1	11	8	3	28	2196	0	0	2
0.108	1	2	11	9	1	28	2196	0	0	0
0.108	1	2	11	9	1	28	2196	0	0	1
0.108	1	2	11	9	1	28	2196	0	0	2
0.109	1	3	11	10	2	28	2196	0	0	0
0.109	1	3	11	10	2	28	2196	0	0	1
0.109	1	3	11	10	2	28	2196	0	0	2
0.11	1	1	12	1	3	28	2196	0	0	0
0.11	1	1	12	1	3	28	2196	0	0	1
0.11	1	1	12	1	3	28	2196	0	0	2
0.111	1	2	12	2	1	28	2196	0	0	0
0.111	1	2	12	2	1	28	2196	0	0	1
0.111	1	2	12	2	1	28	2196	0	0	2
0.112	1	3	12	3	2	28	2196	0	0	0
0.112	1	3	12	3	2	28	2196	0	0	1
0.112	1	3	12	3	2	28	2196	0	0	2
0.113	1	1	12	4	3	28	2196	0	0	0
0.113	1	1	12	4	3	28	2196	0	0	1
0.113	1	1	12	4	3	28	2196	0	0	2
0.114	1	2	12	5	1	28	2196	0	0	0
0.114	1	2	12	5	1	28	2196	0	0	1
0.114	1	2	12	5	1	28	2196	0	0	2
0.115	1	3	12	6	2	28	2196	0	0	0
0.115	1	3	12	6	2	28	2196	0	0	1
0.115	1	3	12	6	2	28	2196	0	0	2
0.116	1	1	12	7	3	28	2196	0	0	0
0.116	1	1	12	7	3	28	2196	0	0	1
0.116	1	1	12	7	3	28	2196	0	0	2
0.117	1	2	12	8	1	28	2196	0	0	0
0.117	1	2	12	8	1	28	2196	0	0	1
0.117	1	2	12	8	1	28	2196	0	0	2
0.118	1	3	12	9	2	28	2196	0	0	0
0.118	1	3	12	9	2	28	2196	0	0	1
0.118	1	3	12	9	2	28	2196	0	0	2
0.119	1	1	12	10	3	28	2196	0	0	0
0.119	1	1	12	10	3	28	2196	0	0	1
0.119	1	1	12	10	3	28	2196	0	0	2
0.12	1	2	13	1	1	28	2196	0	0	0
0.12	1	2	13	1	1	28	2196	0	0	1
0.12	1	2	13	1	1	28	2196	0	0	2
0.121	1	3	13	2	2	28	2196	0	0	0
0.121	1	3	13	2	2	28	2196	0	0	1
0.121	1	3	13	2	2	28	2196	0	0	2
0.122	1	1	13	3	3	28	2196	0	0	0
0.122	1	1	13	3	3	28	2196	0	0	1
0.122	1	1	13	3	3	28	2196	0	0	2
0.123	1	2	13	4	1	28	2196	0	0	0
0.123	1	2	13	4	1	28	2196	0	0	1
0.123	1	2	13	4	1	28	2196	0	0	2
0.124	1	3	13	5	2	28	2196	0	0	0
0.124	1	3	13	5	2	28	2196	0	0	1
0.124	1	3	13	5	2	28	2196	0	0	2
0.125	1	1	13	6	3	28	2196	0	0	0
0.125	1	1	13	6	3	28	2196	0	0	1
0.125	1	1	13	6	3	28	2196	0	0	2
0.126	1	2	13	7	1	28	2196	0	0	0
0.126	1	2	13	7	1	28	2196	0	0	1
0.126	1	2	13	7	1	28	2196	0	0	2
0.127	1	3	13	8	2	28	2196	0	0	0
0.127	1	3	13	8	2	28	2196	0	0	1
0.127	1	3	13	8	2	28	2196	0	0	2
0.128	1	1	13	9	3	28	2196	0	0	0
0.128	1	1	13	9	3	28	2196	0	0	1
0.128	1	1	13	9	3	28	2196	0	0	2
0.129	1	2	13	10	1	28	2196	0	0	0
0.129	1	2	13	10	1	28	2196	0	0	1
0.129	1	2	13	10	1	28	2196	0	0	2
0.13	1	3	14	1	2	28	2196	0	0	0
0.13	1	3	14	1	2	28	2196	0	0	1
0.13	1	3	14	1	2	28	2196	0	0	2
0.131	1	1	14	2	3	28	2196	0	0	0
0.131	1	1	14	2	3	28	2196	0	0	1
0.131	1	1	14	2	3	28	2196	0	0	2
0.132	1	2	14	3	1	28	2196	0	0	0
0.132	1	2	14	3	1	28	2196	0	0	1
0.132	1	2	14	3	1	28	2196	0	0	2
0.133	1	3	14	4	2	28	2196	0	0	0
0.133	1	3	14	4	2	28	2196	0	0	1
0.133	1	3	14	4	2	28	2196	0	0	2
0.134	1	1	14	5	3	28	2196	0	0	0
0.134	1	1	14	5	3	28	2196	0	0	1
0.134	1	1	14	5	3	28	2196	0	0	2
0.135	1	2	14	6	1	28	2196	0	0	0
0.135	1	2	14	6	1	28	2196	0	0	1
0.135	1	2	14	6	1	28	2196	0	0	2
0.136	1	3	14	7	2	28	2196	0	0	0
0.136	1	3	14	7	2	28	2196	0	0	1
0.136	1	3	14	7	2	28	2196	0	0	2
0.137	1	1	14	8	3	28	2196	0	0	0
0.137	1	1	14	8	3	28	2196	0	0	1
0.137	1	1	14	8	3	28	2196	0	0	2
0.138	1	2	14	9	1	28	2196	0	0	0
0.138	1	2	14	9	1	28	2196	0	0	1
0.138	1	2	14	9	1	28	2196	0	0	2
0.139	1	3	14	10	2	28	2196	0	0	0
0.139	1	3	14	10	2	28	2196	0	0	1
0.139	1	3	14	10	2	28	2196	0	0	2
0.14	1	1	15	1	3	28	2196	0	0	0
0.14	1	1	15	1	3	28	2196	0	0	1
0.14	1	1	15	1	3	28	2196	0	0	2
0.141	1	2	15	2	1	28	2196	0	0	0
0.141	1	2	15	2	1	28	2196	0	0	1
0.141	1	2	15	2	1	28	2196	0	0	2
0.142	1	3	15	3	2	28	2196	0	0	0
0.142	1	3	15	3	2	28	2196	0	0	1
0.142	1	3	15	3	2	28	2196	0	0	2
0.143	1	1	15	4	3	28	2196	0	0	0
0.143	1	1	15	4	3	28	2196	0	0	1
0.143	1	1	15	4	3	28	2196	0	0	2
0.144	1	2	15	5	1	28	2196	0	0	0
0.144	1	2	15	5	1	28	2196	0	0	1
0.144	1	2	15	5	1	28	2196	0	0	2
0.145	1	3	15	6	2	28	2196	0	0	0
0.145	1	3	15	6	2	28	2196	0	0	1
0.145	1	3	15	6	2	28	2196	0	0	2
0.146	1	1	15	7	3	28	2196	0	0	0
0.146	1	1	15	7	3	28	2196	0	0	1
0.146	1	1	15	7	3	28	2196	0	0	2
0.147	1	2	15	8	1	28	2196	0	0	0
0.147	1	2	15	8	1	28	2196	0	0	1
0.147	1	2	15	8	1	28	2196	0	0	2
0.148	1	3	15	9	2	28	2196	0	0	0
0.148	1	3	15	9	2	28	2196	0	0	1
0.148	1	3	15	9	2	28	2196	0	0	2
0.149	1	1	15	10	3	28	2196	0	0	0
0.149	1	1	15	10	3	28	2196	0	0	1
0.149	1	1	15	10	3	28	2196	0	0	2
0.15	1	2	16	1	1	28	2196	0	0	0
0.15	1	2	16	1	1	28	2196	0	0	1
0.15	1	2	16	1	1	28	2196	0	0	2
0.151	1	3	16	2	2	28	2196	0	0	0
0.151	1	3	16	2	2	28	2196	0	0	1
0.151	1	3	16	2	2	28	2196	0	0	2
0.152	1	1	16	3	3	28	2196	0	0	0
0.152	1	1	16	3	3	28	2196	0	0	1
0.152	1	1	16	3	3	28	2196	0	0	2
0.153	1	2	16	4	1	28	2196	0	0	0
0.153	1	2	16	4	1	28	2196	0	0	1
0.153	1	2	16	4	1	28	2196	0	0	2
0.154	1	3	16	5	2	28	2196	0	0	0
0.154	1	3	16	5	2	28	2196	0	0	1
0.154	1	3	16	5	2	28	2196	0	0	2
0.155	1	1	16	6	3	28	2196	0	0	0
0.155	1	1	16	6	3	28	2196	0	0	1
0.155	1	1	16	6	3	28	2196	0	0	2
0.156	1	2	16	7	1	28	2196	0	0	0
0.156	1	2	16	7	1	28	2196	0	0	1
0.156	1	2	16	7	1	28	2196	0	0	2
0.157	1	3	16	8	2	28	2196	0	0	0
0.157	1	3	16	8	2	28	2196	0	0	1
0.157	1	3	16	8	2	28	2196	0	0	2
0.158	1	1	16	9	3	28	2196	0	0	0
0.158	1	1	16	9	3	28	2196	0	0	1
0.158	1	1	16	9	3	28	2196	0	0	2
0.159	1	2	16	10	1	28	2196	0	0	0
0.159	1	2	16	10	1	28	2196	0	0	1
0.159	1	2	16	10	1	28	2196	0	0	2
0.16	1	3	17	1	2	28	2196	0	0	0
0.16	1	3	17	1	2	28	2196	0	0	1
0.16	1	3	17	1	2	28	2196	0	0	2
0.161	1	1	17	2	3	28	2196	0	0	0
0.161	1	1	17	2	3	28	2196	0	0	1
0.161	1	1	17	2	3	28	2196	0	0	2
0.162	1	2	17	3	1	28	2196	0	0	0
0.162	1	2	17	3	1	28	2196	0	0	1
0.162	1	2	17	3	1	28	2196	0	0	2
0.163	1	3	17	4	2	28	2196	0	0	0
0.163	1	3	17	4	2	28	2196	0	0	1
0.163	1	3	17	4	2	28	2196	0	0	2
0.164	1	1	17	5	3	28	2196	0	0	0
0.164	1	1	17	5	3	28	2196	0	0	1
0.164	1	1	17	5	3	28	2196	0	0	2
0.165	1	2	17	6	1	28	2196	0	0	0
0.165	1	2	17	6	1	28	2196	0	0	1
0.165	1	2	17	6	1	28	2196	0	0	2
0.166	1	3	17	7	2	28	2196	0	0	0
0.166	1	3	17	7	2	28	2196	0	0	1
0.166	1	3	17	7	2	28	2196	0	0	2
0.167	1	1	17	8	3	28	2196	0	0	0
0.167	1	1	17	8	3	28	2196	0	0	1
0.167	1	1	17	8	3	28	2196	0	0	2
0.168	1	2	17	9	1	28	2196	0	0	0
0.168	1	2	17	9	1	28	2196	0	0	1
0.168	1	2	17	9	1	28	2196	0	0	2
0.169	1	3	17	10	2	28	2196	0	0	0
0.169	1	3	17	10	2	28	2196	0	0	1
0.169	1	3	17	10	2	28	2196	0	0	2
0.17	1	1	18	1	3	28	2196	0	0	0
0.17	1	1	18	1	3	28	2196	0	0	1
0.17	1	1	18	1	3	28	2196	0	0	2
0.171	1	2	18	2	1	28	2196	0	0	0
0.171	1	2	18	2	1	28	2196	0	0	1
0.171	1	2	18	2	1	28	2196	0	0	2
0.172	1	3	18	3	2	28	2196	0	0	0
0.172	1	3	18	3	2	28	2196	0	0	1
0.172	1	3	18	3	2	28	2196	0	0	2
0.173	1	1	18	4	3	28	2196	0	0	0
0.173	1	1	18	4	3	28	2196	0	0	1
0.173	1	1	18	4	3	28	2196	0	0	2
0.174	1	2	18	5	1	28	2196	0	0	0
0.174	1	2	18	5	1	28	2196	0	0	1
0.174	1	2	18	5	1	28	2196	0	0	2
0.175	1	3	18	6	2	28	2196	0	0	0
0.175	1	3	18	6	2	28	2196	0	0	1
0.175	1	3	18	6	2	28	2196	0	0	2
0.176	1	1	18	7	3	28	2196	0	0	0
0.176	1	1	18	7	3	28	2196	0	0	1
0.176	1	1	18	7	3	28	2196	0	0	2
0.177	1	2	18	8	1	28	2196	0	0	0
0.177	1	2	18	8	1	28	2196	0	0	1
0.177	1	2	18	8	1	28	2196	0	0	2
0.178	1	3	18	9	2	28	2196	0	0	0
0.178	1	3	18	9	2	28	2196	0	0	1
0.178	1	3	18	9	2	28	2196	0	0	2
0.179	1	1	18	10	3	28	2196	0	0	0
0.179	1	1	18	10	3	28	2196	0	0	1
0.179	1	1	18	10	3	28	2196	0	0	2
0.18	1	2	19	1	1	28	2196	0	0	0
0.18	1	2	19	1	1	28	2196	0	0	1
0.18	1	2	19	1	1	28	2196	0	0	2
0.181	1	3	19	2	2	28	2196	0	0	0
0.181	1	3	19	2	2	28	2196	0	0	1
0.181	1	3	19	2	2	28	2196	0	0	2
0.182	1	1	19	3	3	28	2196	0	0	0
0.182	1	1	19	3	3	28	2196	0	0	1
0.182	1	1	19	3	3	28	2196	0	0	2
0.183	1	2	19	4	1	28	2196	0	0	0
0.183	1	2	19	4	1	28	2196	0	0	1
0.183	1	2	19	4	1	28	2196	0	0	2
0.184	1	3	19	5	2	28	2196	0	0	0
0.184	1	3	19	5	2	28	2196	0	0	1
0.184	1	3	19	5	2	28	2196	0	0	2
0.185	1	1	19	6	3	28	2196	0	0	0
0.185	1	1	19	6	3	28	2196	0	0	1
0.185	1	1	19	6	3	28	2196	0	0	2
0.186	1	2	19	7	1	28	2196	0	0	0
0.186	1	2	19	7	1	28	2196	0	0	1
0.186	1	2	19	7	1	28	2196	0	0	2
0.187	1	3	19	8	2	28	2196	0	0	0
0.187	1	3	19	8	2	28	2196	0	0	1
0.187	1	3	19	8	2	28	2196	0	0	2
0.188	1	1	19	9	3	28	2196	0	0	0
0.188	1	1	19	9	3	28	2196	0	0	1
0.188	1	1	19	9	3	28	2196	0	0	2
0.189	1	2	19	10	1	28	2196	0	0	0
0.189	1	2	19	10	1	28	2196	0	0	1
0.189	1	2	19	10	1	28	2196	0	0	2
0.19	1	3	20	1	2	28	2196	0	0	0
0.19	1	3	20	1	2	28	2196	0	0	1
0.19	1	3	20	1	2	28	2196	0	0	2
0.191	1	1	20	2	3	28	2196	0	0	0
0.191	1	1	20	2	3	28	2196	0	0	1
0.191	1	1	20	2	3	28	2196	0	0	2
0.192	1	2	20	3	1	28	2196	0	0	0
0.192	1	2	20	3	1	28	2196	0	0	1
0.192	1	2	20	3	1	28	2196	0	0	2
0.193	1	3	20	4	2	28	2196	0	0	0
0.193	1	3	20	4	2	28	2196	0	0	1
0.193	1	3	20	4	2	28	2196	0	0	2
0.194	1	1	20	5	3	28	2196	0	0	0
0.194	1	1	20	5	3	28	2196	0	0	1
0.194	1	1	20	5	3	28	2196	0	0	2
0.195	1	2	20	6	1	28	2196	0	0	0
0.195	1	2	20	6	1	28	2196	0	0	1
0.195	1	2	20	6	1	28	2196	0	0	2
